




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (8962)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (expected)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (over/under)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (fold Enrichment)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (raw P-value)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (FDR)
regulation of dendrite morphogenesis (GO:0048814)	67	57	29.16	+	1.96	2.59E-04	9.29E-03
neuron fate commitment (GO:0048663)	62	52	26.98	+	1.93	6.75E-04	2.08E-02
negative regulation of neuron differentiation (GO:0045665)	70	57	30.46	+	1.87	6.39E-04	2.00E-02
regulation of dendrite development (GO:0050773)	104	84	45.26	+	1.86	3.13E-05	1.40E-03
nephron morphogenesis (GO:0072028)	66	52	28.72	+	1.81	1.74E-03	4.54E-02
diencephalon development (GO:0021536)	79	62	34.38	+	1.80	6.32E-04	1.98E-02
dorsal/ventral pattern formation (GO:0009953)	76	59	33.07	+	1.78	9.78E-04	2.82E-02
cell fate specification (GO:0001708)	81	62	35.25	+	1.76	9.74E-04	2.82E-02
regulation of synapse assembly (GO:0051963)	99	75	43.08	+	1.74	3.53E-04	1.21E-02
ephrin receptor signaling pathway (GO:0048013)	86	65	37.42	+	1.74	9.64E-04	2.80E-02
histone acetylation (GO:0016573)	110	83	47.87	+	1.73	2.04E-04	7.44E-03
limbic system development (GO:0021761)	109	82	47.43	+	1.73	2.57E-04	9.22E-03
spinal cord development (GO:0021510)	100	75	43.52	+	1.72	4.92E-04	1.61E-02
roof of mouth development (GO:0060021)	87	65	37.86	+	1.72	1.35E-03	3.67E-02
stem cell population maintenance (GO:0019827)	118	88	51.35	+	1.71	1.78E-04	6.67E-03
maintenance of cell number (GO:0098727)	121	90	52.65	+	1.71	1.57E-04	5.99E-03
metencephalon development (GO:0022037)	112	83	48.74	+	1.70	3.02E-04	1.06E-02
cerebellum development (GO:0021549)	104	76	45.26	+	1.68	7.99E-04	2.40E-02
central nervous system neuron differentiation (GO:0021953)	183	133	79.63	+	1.67	8.60E-06	4.14E-04
regulation of neuron differentiation (GO:0045664)	193	140	83.98	+	1.67	6.14E-06	3.07E-04
cell fate commitment (GO:0045165)	238	171	103.57	+	1.65	7.36E-07	4.41E-05
internal peptidyl-lysine acetylation (GO:0018393)	116	83	50.48	+	1.64	6.36E-04	1.99E-02
regulation of synapse organization (GO:0050807)	210	150	91.38	+	1.64	4.68E-06	2.44E-04
peptidyl-lysine acetylation (GO:0018394)	119	85	51.78	+	1.64	5.61E-04	1.79E-02
internal protein amino acid acetylation (GO:0006475)	118	84	51.35	+	1.64	6.91E-04	2.12E-02
embryonic skeletal system development (GO:0048706)	123	87	53.52	+	1.63	6.61E-04	2.05E-02
regulation of synapse structure or activity (GO:0050803)	221	156	96.17	+	1.62	4.56E-06	2.38E-04
embryonic limb morphogenesis (GO:0030326)	119	84	51.78	+	1.62	9.31E-04	2.74E-02
embryonic appendage morphogenesis (GO:0035113)	119	84	51.78	+	1.62	9.31E-04	2.74E-02
regulation of extent of cell growth (GO:0061387)	112	79	48.74	+	1.62	1.17E-03	3.23E-02
positive regulation of neurogenesis (GO:0050769)	227	160	98.78	+	1.62	4.49E-06	2.35E-04
positive regulation of nervous system development (GO:0051962)	274	193	119.23	+	1.62	4.46E-07	2.78E-05
regionalization (GO:0003002)	317	223	137.94	+	1.62	4.87E-08	3.52E-06
endocrine system development (GO:0035270)	124	87	53.96	+	1.61	8.91E-04	2.64E-02
ear morphogenesis (GO:0042471)	120	84	52.22	+	1.61	9.77E-04	2.82E-02
pallium development (GO:0021543)	173	121	75.28	+	1.61	7.33E-05	3.03E-03
negative regulation of neurogenesis (GO:0050768)	143	100	62.23	+	1.61	3.34E-04	1.15E-02
cardiac chamber morphogenesis (GO:0003206)	119	83	51.78	+	1.60	1.20E-03	3.31E-02
branching morphogenesis of an epithelial tube (GO:0048754)	132	92	57.44	+	1.60	5.89E-04	1.87E-02
regulation of axonogenesis (GO:0050770)	161	112	70.06	+	1.60	1.98E-04	7.34E-03
positive regulation of neuron projection development (GO:0010976)	161	112	70.06	+	1.60	1.98E-04	7.32E-03
regulation of fat cell differentiation (GO:0045598)	128	89	55.70	+	1.60	8.17E-04	2.44E-02
regulation of neurogenesis (GO:0050767)	364	253	158.40	+	1.60	1.29E-08	1.05E-06
limb morphogenesis (GO:0035108)	141	98	61.36	+	1.60	5.05E-04	1.65E-02
appendage morphogenesis (GO:0035107)	141	98	61.36	+	1.60	5.05E-04	1.64E-02
cerebral cortex development (GO:0021987)	118	82	51.35	+	1.60	1.48E-03	3.97E-02
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	77	48.30	+	1.59	1.87E-03	4.82E-02
negative regulation of neuron apoptotic process (GO:0043524)	146	101	63.53	+	1.59	4.81E-04	1.58E-02
regulation of neuron projection development (GO:0010975)	447	309	194.51	+	1.59	4.47E-10	4.56E-08
negative regulation of nervous system development (GO:0051961)	148	102	64.40	+	1.58	4.10E-04	1.37E-02
regulation of cell junction assembly (GO:1901888)	202	139	87.90	+	1.58	4.05E-05	1.77E-03
forebrain development (GO:0030900)	387	264	168.40	+	1.57	2.34E-08	1.78E-06
hindbrain development (GO:0030902)	151	103	65.71	+	1.57	5.78E-04	1.83E-02
protein acetylation (GO:0006473)	138	94	60.05	+	1.57	9.40E-04	2.76E-02
telencephalon development (GO:0021537)	254	173	110.53	+	1.57	7.70E-06	3.75E-04
axonogenesis (GO:0007409)	385	262	167.53	+	1.56	2.78E-08	2.10E-06
mammary gland development (GO:0030879)	128	87	55.70	+	1.56	1.69E-03	4.44E-02
regulation of nervous system development (GO:0051960)	443	301	192.77	+	1.56	3.18E-09	2.84E-07
respiratory tube development (GO:0030323)	177	120	77.02	+	1.56	2.21E-04	8.05E-03
ear development (GO:0043583)	220	149	95.73	+	1.56	3.82E-05	1.67E-03
regulation of signal transduction by p53 class mediator (GO:1901796)	201	136	87.47	+	1.55	8.04E-05	3.28E-03
cell projection morphogenesis (GO:0048858)	507	343	220.62	+	1.55	3.54E-10	3.66E-08
digestive system development (GO:0055123)	136	92	59.18	+	1.55	1.40E-03	3.77E-02
lung development (GO:0030324)	173	117	75.28	+	1.55	3.07E-04	1.08E-02
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	340	218.88	+	1.55	3.91E-10	4.01E-08
respiratory system development (GO:0060541)	200	135	87.03	+	1.55	9.71E-05	3.91E-03
neuron projection morphogenesis (GO:0048812)	499	336	217.14	+	1.55	6.78E-10	6.70E-08
neuron projection guidance (GO:0097485)	278	187	120.97	+	1.55	5.54E-06	2.81E-04
axon development (GO:0061564)	421	283	183.20	+	1.54	1.87E-08	1.49E-06
axon guidance (GO:0007411)	277	186	120.54	+	1.54	6.73E-06	3.32E-04
cell part morphogenesis (GO:0032990)	526	353	228.89	+	1.54	3.35E-10	3.49E-08
neurotransmitter transport (GO:0006836)	142	95	61.79	+	1.54	1.37E-03	3.69E-02
regulation of muscle cell differentiation (GO:0051147)	145	97	63.10	+	1.54	1.20E-03	3.30E-02
retina development in camera-type eye (GO:0060041)	148	99	64.40	+	1.54	1.06E-03	2.99E-02
cell morphogenesis involved in neuron differentiation (GO:0048667)	453	303	197.12	+	1.54	8.73E-09	7.38E-07
limb development (GO:0060173)	175	117	76.15	+	1.54	4.13E-04	1.38E-02
appendage development (GO:0048736)	175	117	76.15	+	1.54	4.13E-04	1.38E-02
protein acylation (GO:0043543)	178	119	77.46	+	1.54	3.63E-04	1.23E-02
liver development (GO:0001889)	138	92	60.05	+	1.53	1.89E-03	4.86E-02
hepaticobiliary system development (GO:0061008)	141	94	61.36	+	1.53	1.66E-03	4.37E-02
pattern specification process (GO:0007389)	426	284	185.38	+	1.53	3.44E-08	2.54E-06
negative regulation of Wnt signaling pathway (GO:0030178)	219	146	95.30	+	1.53	7.42E-05	3.06E-03
anterior/posterior pattern specification (GO:0009952)	203	135	88.34	+	1.53	1.68E-04	6.35E-03
chromatin remodeling (GO:0006338)	173	115	75.28	+	1.53	4.89E-04	1.60E-02
embryonic organ morphogenesis (GO:0048562)	295	196	128.37	+	1.53	6.13E-06	3.07E-04
regulation of trans-synaptic signaling (GO:0099177)	432	287	187.99	+	1.53	3.32E-08	2.48E-06
modulation of chemical synaptic transmission (GO:0050804)	431	286	187.55	+	1.52	4.01E-08	2.92E-06
morphogenesis of a branching structure (GO:0001763)	169	112	73.54	+	1.52	6.70E-04	2.07E-02
positive regulation of developmental growth (GO:0048639)	169	112	73.54	+	1.52	6.70E-04	2.07E-02
stem cell differentiation (GO:0048863)	157	104	68.32	+	1.52	1.12E-03	3.13E-02
embryonic organ development (GO:0048568)	435	288	189.29	+	1.52	3.67E-08	2.70E-06
morphogenesis of embryonic epithelium (GO:0016331)	145	96	63.10	+	1.52	1.89E-03	4.86E-02
regulation of neuron apoptotic process (GO:0043523)	210	139	91.38	+	1.52	1.68E-04	6.36E-03
negative regulation of cell development (GO:0010721)	180	119	78.33	+	1.52	4.85E-04	1.59E-02
regulation of canonical Wnt signaling pathway (GO:0060828)	298	197	129.68	+	1.52	6.70E-06	3.31E-04
urogenital system development (GO:0001655)	324	214	140.99	+	1.52	2.59E-06	1.41E-04
cardiac chamber development (GO:0003205)	162	107	70.49	+	1.52	1.05E-03	2.98E-02
regulation of Wnt signaling pathway (GO:0030111)	377	249	164.05	+	1.52	3.95E-07	2.51E-05
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	103	67.88	+	1.52	1.36E-03	3.68E-02
epithelial tube morphogenesis (GO:0060562)	309	204	134.46	+	1.52	4.87E-06	2.52E-04
cell-cell signaling by wnt (GO:0198738)	350	231	152.30	+	1.52	1.01E-06	5.89E-05
Wnt signaling pathway (GO:0016055)	350	231	152.30	+	1.52	1.01E-06	5.87E-05
tube formation (GO:0035148)	147	97	63.97	+	1.52	1.62E-03	4.29E-02
renal system development (GO:0072001)	291	192	126.63	+	1.52	1.04E-05	4.99E-04
regulation of synaptic plasticity (GO:0048167)	188	124	81.81	+	1.52	3.99E-04	1.34E-02
inner ear development (GO:0048839)	195	128	84.86	+	1.51	3.97E-04	1.34E-02
regulation of plasma membrane bounded cell projection organization (GO:0120035)	631	414	274.58	+	1.51	8.16E-11	9.34E-09
regulation of cell projection organization (GO:0031344)	648	425	281.98	+	1.51	4.56E-11	5.37E-09
embryonic morphogenesis (GO:0048598)	570	373	248.04	+	1.50	1.02E-09	9.91E-08
neuron differentiation (GO:0030182)	1043	682	453.87	+	1.50	4.70E-17	9.78E-15
head development (GO:0060322)	803	525	349.43	+	1.50	2.99E-13	4.50E-11
positive regulation of cell development (GO:0010720)	300	196	130.55	+	1.50	1.11E-05	5.25E-04
negative regulation of canonical Wnt signaling pathway (GO:0090090)	187	122	81.37	+	1.50	6.00E-04	1.90E-02
gland development (GO:0048732)	414	270	180.15	+	1.50	2.61E-07	1.72E-05
locomotory behavior (GO:0007626)	181	118	78.76	+	1.50	7.75E-04	2.35E-02
positive regulation of cell projection organization (GO:0031346)	353	230	153.61	+	1.50	2.56E-06	1.40E-04
sensory organ morphogenesis (GO:0090596)	261	170	113.58	+	1.50	5.69E-05	2.40E-03
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	108	72.24	+	1.50	1.47E-03	3.96E-02
synapse organization (GO:0050808)	289	188	125.76	+	1.49	2.31E-05	1.06E-03
regulation of developmental growth (GO:0048638)	320	208	139.25	+	1.49	8.31E-06	4.03E-04
morphogenesis of a branching epithelium (GO:0061138)	160	104	69.62	+	1.49	1.91E-03	4.90E-02
brain development (GO:0007420)	759	493	330.28	+	1.49	3.29E-12	4.41E-10
kidney development (GO:0001822)	282	183	122.71	+	1.49	2.92E-05	1.31E-03
regulation of cell size (GO:0008361)	185	120	80.50	+	1.49	8.70E-04	2.59E-02
generation of neurons (GO:0048699)	1271	824	553.08	+	1.49	8.78E-20	2.39E-17
mesenchymal cell differentiation (GO:0048762)	162	105	70.49	+	1.49	1.64E-03	4.32E-02
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	272	182.76	+	1.49	3.79E-07	2.42E-05
glial cell differentiation (GO:0010001)	173	112	75.28	+	1.49	1.18E-03	3.26E-02
skeletal system morphogenesis (GO:0048705)	224	145	97.47	+	1.49	2.53E-04	9.14E-03
cell morphogenesis involved in differentiation (GO:0000904)	559	361	243.25	+	1.48	5.01E-09	4.43E-07
covalent chromatin modification (GO:0016569)	367	237	159.70	+	1.48	2.49E-06	1.36E-04
bone development (GO:0060348)	189	122	82.24	+	1.48	7.89E-04	2.37E-02
neuron projection development (GO:0031175)	691	446	300.69	+	1.48	7.91E-11	9.13E-09
positive regulation of Wnt signaling pathway (GO:0030177)	186	120	80.94	+	1.48	8.95E-04	2.65E-02
neurogenesis (GO:0022008)	1391	896	605.30	+	1.48	6.35E-21	1.93E-18
protein autophosphorylation (GO:0046777)	188	121	81.81	+	1.48	9.44E-04	2.76E-02
positive regulation of intracellular protein transport (GO:0090316)	185	119	80.50	+	1.48	1.07E-03	3.02E-02
central nervous system development (GO:0007417)	1000	643	435.15	+	1.48	5.61E-15	9.74E-13
histone modification (GO:0016570)	363	233	157.96	+	1.48	4.15E-06	2.20E-04
rhythmic process (GO:0048511)	269	172	117.06	+	1.47	1.07E-04	4.24E-03
cellular component morphogenesis (GO:0032989)	611	390	265.88	+	1.47	3.09E-09	2.78E-07
regulation of cell development (GO:0060284)	500	319	217.58	+	1.47	9.63E-08	6.71E-06
regulation of protein binding (GO:0043393)	196	125	85.29	+	1.47	9.54E-04	2.78E-02
regulation of neurotransmitter levels (GO:0001505)	218	139	94.86	+	1.47	4.95E-04	1.62E-02
morphogenesis of an epithelium (GO:0002009)	441	281	191.90	+	1.46	6.58E-07	3.97E-05
negative regulation of neuron death (GO:1901215)	209	133	90.95	+	1.46	7.22E-04	2.21E-02
peptidyl-lysine modification (GO:0018205)	305	194	132.72	+	1.46	4.35E-05	1.88E-03
neuron development (GO:0048666)	846	538	368.14	+	1.46	3.98E-12	5.24E-10
heart morphogenesis (GO:0003007)	241	153	104.87	+	1.46	3.22E-04	1.12E-02
mesenchyme development (GO:0060485)	224	142	97.47	+	1.46	5.75E-04	1.83E-02
cell morphogenesis (GO:0000902)	715	453	311.14	+	1.46	3.28E-10	3.43E-08
embryo development (GO:0009790)	991	627	431.24	+	1.45	1.17E-13	1.85E-11
skeletal system development (GO:0001501)	479	303	208.44	+	1.45	4.17E-07	2.62E-05
regulation of cell morphogenesis (GO:0022604)	310	196	134.90	+	1.45	4.93E-05	2.11E-03
positive regulation of intracellular transport (GO:0032388)	228	144	99.22	+	1.45	5.22E-04	1.69E-02
cell junction organization (GO:0034330)	502	317	218.45	+	1.45	2.23E-07	1.50E-05
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	765	527.41	+	1.45	2.32E-16	4.43E-14
negative regulation of growth (GO:0045926)	249	157	108.35	+	1.45	3.22E-04	1.12E-02
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	571	394.25	+	1.45	2.76E-12	3.79E-10
tube morphogenesis (GO:0035239)	654	412	284.59	+	1.45	3.93E-09	3.49E-07
regulation of protein ubiquitination (GO:0031396)	213	134	92.69	+	1.45	9.75E-04	2.82E-02
gliogenesis (GO:0042063)	223	140	97.04	+	1.44	8.34E-04	2.48E-02
tube development (GO:0035295)	856	537	372.49	+	1.44	2.01E-11	2.50E-09
regulation of cell growth (GO:0001558)	422	264	183.64	+	1.44	4.37E-06	2.30E-04
animal organ morphogenesis (GO:0009887)	956	598	416.01	+	1.44	1.81E-12	2.54E-10
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	153	106.61	+	1.44	5.27E-04	1.70E-02
blood vessel morphogenesis (GO:0048514)	410	256	178.41	+	1.43	7.16E-06	3.51E-04
regulation of growth (GO:0040008)	661	412	287.64	+	1.43	9.92E-09	8.25E-07
chordate embryonic development (GO:0043009)	613	382	266.75	+	1.43	3.38E-08	2.51E-06
nervous system development (GO:0007399)	2218	1382	965.17	+	1.43	2.58E-28	2.14E-25
regulation of cellular response to growth factor stimulus (GO:0090287)	299	186	130.11	+	1.43	1.48E-04	5.69E-03
response to growth factor (GO:0070848)	526	327	228.89	+	1.43	4.65E-07	2.90E-05
negative regulation of cell differentiation (GO:0045596)	644	400	280.24	+	1.43	2.13E-08	1.66E-06
vasculature development (GO:0001944)	514	319	223.67	+	1.43	6.33E-07	3.84E-05
positive regulation of protein catabolic process (GO:0045732)	237	147	103.13	+	1.43	7.88E-04	2.38E-02
sensory organ development (GO:0007423)	555	344	241.51	+	1.42	2.82E-07	1.84E-05
cellular response to growth factor stimulus (GO:0071363)	497	308	216.27	+	1.42	1.12E-06	6.44E-05
behavior (GO:0007610)	557	345	242.38	+	1.42	2.46E-07	1.63E-05
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	522	323	227.15	+	1.42	7.48E-07	4.46E-05
camera-type eye development (GO:0043010)	317	196	137.94	+	1.42	1.25E-04	4.91E-03
protein localization to cell periphery (GO:1990778)	233	144	101.39	+	1.42	1.05E-03	2.98E-02
blood vessel development (GO:0001568)	492	304	214.10	+	1.42	1.75E-06	9.83E-05
regulation of neuron death (GO:1901214)	316	195	137.51	+	1.42	1.47E-04	5.70E-03
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	148	104.44	+	1.42	1.01E-03	2.89E-02
embryo development ending in birth or egg hatching (GO:0009792)	633	390	275.45	+	1.42	6.22E-08	4.43E-06
negative regulation of mitotic cell cycle (GO:0045930)	294	181	127.94	+	1.41	2.82E-04	1.00E-02
response to endoplasmic reticulum stress (GO:0034976)	260	160	113.14	+	1.41	6.11E-04	1.93E-02
tissue morphogenesis (GO:0048729)	545	335	237.16	+	1.41	6.93E-07	4.17E-05
regulation of response to DNA damage stimulus (GO:2001020)	223	137	97.04	+	1.41	1.79E-03	4.66E-02
regulation of binding (GO:0051098)	365	224	158.83	+	1.41	5.43E-05	2.31E-03
angiogenesis (GO:0001525)	318	195	138.38	+	1.41	1.85E-04	6.90E-03
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	998	708.43	+	1.41	1.31E-18	3.09E-16
positive regulation of transcription, DNA-templated (GO:0045893)	1628	998	708.43	+	1.41	1.31E-18	3.04E-16
positive regulation of RNA biosynthetic process (GO:1902680)	1629	998	708.87	+	1.41	1.61E-18	3.69E-16
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	136	96.60	+	1.41	1.77E-03	4.61E-02
in utero embryonic development (GO:0001701)	366	224	159.27	+	1.41	6.61E-05	2.76E-03
negative regulation of transcription, DNA-templated (GO:0045892)	1297	793	564.39	+	1.41	1.18E-14	2.01E-12
enzyme linked receptor protein signaling pathway (GO:0007167)	723	442	314.62	+	1.40	1.71E-08	1.37E-06
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	794	565.27	+	1.40	1.22E-14	2.06E-12
positive regulation of cellular protein localization (GO:1903829)	306	187	133.16	+	1.40	3.00E-04	1.06E-02
negative regulation of RNA biosynthetic process (GO:1902679)	1301	795	566.14	+	1.40	1.27E-14	2.09E-12
positive regulation of growth (GO:0045927)	257	157	111.83	+	1.40	9.95E-04	2.86E-02
negative regulation of RNA metabolic process (GO:0051253)	1408	859	612.70	+	1.40	1.17E-15	2.11E-13
response to insulin (GO:0032868)	241	147	104.87	+	1.40	1.49E-03	4.00E-02
regulation of cellular protein catabolic process (GO:1903362)	256	156	111.40	+	1.40	9.79E-04	2.82E-02
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	253	154	110.09	+	1.40	1.10E-03	3.10E-02
regulation of mitotic cell cycle phase transition (GO:1901990)	434	264	188.86	+	1.40	2.04E-05	9.39E-04
regulation of anatomical structure morphogenesis (GO:0022603)	967	588	420.79	+	1.40	9.42E-11	1.06E-08
positive regulation of RNA metabolic process (GO:0051254)	1773	1078	771.53	+	1.40	2.72E-19	6.83E-17
regulation of autophagy (GO:0010506)	331	201	144.04	+	1.40	2.02E-04	7.40E-03
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	934	670.14	+	1.39	1.68E-16	3.35E-14
regulation of RNA stability (GO:0043487)	253	153	110.09	+	1.39	1.58E-03	4.20E-02
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	924	664.92	+	1.39	4.04E-16	7.43E-14
eye development (GO:0001654)	364	220	158.40	+	1.39	1.30E-04	5.08E-03
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	937	674.92	+	1.39	2.95E-16	5.56E-14
negative regulation of developmental process (GO:0051093)	879	531	382.50	+	1.39	1.86E-09	1.73E-07
activation of protein kinase activity (GO:0032147)	328	198	142.73	+	1.39	3.22E-04	1.12E-02
regulation of mRNA catabolic process (GO:0061013)	252	152	109.66	+	1.39	1.56E-03	4.16E-02
small GTPase mediated signal transduction (GO:0007264)	262	158	114.01	+	1.39	1.31E-03	3.56E-02
circulatory system development (GO:0072359)	877	528	381.63	+	1.38	2.55E-09	2.33E-07
negative regulation of cellular biosynthetic process (GO:0031327)	1610	969	700.60	+	1.38	1.97E-16	3.80E-14
anatomical structure formation involved in morphogenesis (GO:0048646)	883	531	384.24	+	1.38	2.82E-09	2.56E-07
anatomical structure morphogenesis (GO:0009653)	2158	1297	939.06	+	1.38	4.90E-22	1.65E-19
regulation of protein catabolic process (GO:0042176)	398	239	173.19	+	1.38	8.59E-05	3.49E-03
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	1165	844.63	+	1.38	1.36E-19	3.59E-17
negative regulation of biosynthetic process (GO:0009890)	1643	986	714.96	+	1.38	1.70E-16	3.37E-14
heart development (GO:0007507)	535	321	232.81	+	1.38	5.70E-06	2.89E-04
chromatin organization (GO:0006325)	703	421	305.91	+	1.38	1.95E-07	1.32E-05
response to oxygen levels (GO:0070482)	388	232	168.84	+	1.37	1.42E-04	5.51E-03
visual system development (GO:0150063)	368	220	160.14	+	1.37	1.99E-04	7.32E-03
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	1113	810.69	+	1.37	3.27E-18	7.17E-16
regulation of mitotic cell cycle (GO:0007346)	588	351	255.87	+	1.37	2.63E-06	1.42E-04
positive regulation of cell differentiation (GO:0045597)	840	501	365.53	+	1.37	1.75E-08	1.40E-06
sensory system development (GO:0048880)	374	223	162.75	+	1.37	2.20E-04	8.00E-03
negative regulation of signal transduction (GO:0009968)	1305	778	567.88	+	1.37	1.17E-12	1.68E-10
negative regulation of cell communication (GO:0010648)	1401	835	609.65	+	1.37	1.54E-13	2.41E-11
negative regulation of signaling (GO:0023057)	1405	837	611.39	+	1.37	1.64E-13	2.52E-11
negative regulation of intracellular signal transduction (GO:1902532)	507	302	220.62	+	1.37	1.62E-05	7.53E-04
response to decreased oxygen levels (GO:0036293)	361	215	157.09	+	1.37	2.92E-04	1.03E-02
